Date,Region,New_HIV_Cases,HIV_Rate,New_AIDS_Cases,AIDS_Rate,AIDS_Deaths,Death_Rate,Sexual_Transmission,Heterosexual,Homosexual,Parenteral_Transmission,Other_Transmission,Children_HIV+
2014-01,Україна,1940.0,4.3,872.0,1.9,274.0,0.6,1124.0,1105.0,19.0,482.0,16.0,318.0
2014-01,Крим,104.0,5.3,33.0,1.7,12.0,0.6,,,,,,
2014-01,Вінницька,28.0,1.7,26.0,1.6,4.0,0.2,,,,,,
2014-01,Волинська,9.0,0.9,8.0,0.8,0.0,0.0,,,,,,
2014-01,Дніпропетровська,239.0,7.2,156.0,4.7,76.0,2.3,,,,,,
2014-01,Донецька,609.0,14.0,202.0,4.6,54.0,1.2,,,,,,
2014-01,Житомирська,27.0,2.1,15.0,1.2,8.0,0.6,,,,,,
2014-01,Закарпатська,2.0,0.2,2.0,0.2,0.0,0.0,,,,,,
2014-01,Запорізька,34.0,1.9,31.0,1.7,8.0,0.4,,,,,,
2014-01,Івано-Франківська,7.0,0.5,15.0,1.1,3.0,0.2,,,,,,
2014-01,Київська,52.0,3.0,0.0,0.0,2.0,0.1,,,,,,
2014-01,Кіровоградська,31.0,3.1,8.0,0.8,5.0,0.5,,,,,,
2014-01,Луганська,74.0,3.3,28.0,1.2,13.0,0.6,,,,,,
2014-01,Львівська,36.0,1.4,10.0,0.4,1.0,0.0,,,,,,
2014-01,Миколаївська,114.0,9.7,69.0,5.9,19.0,1.6,,,,,,
2014-01,Одеська,155.0,6.5,83.0,3.5,25.0,1.0,,,,,,
2014-01,Полтавська,30.0,2.0,18.0,1.2,10.0,0.7,,,,,,
2014-01,Рівненська,16.0,1.4,5.0,0.4,0.0,0.0,,,,,,
2014-01,Сумська,10.0,0.9,7.0,0.6,1.0,0.1,,,,,,
2014-01,Тернопільська,8.0,0.7,3.0,0.3,0.0,0.0,,,,,,
2014-01,Харківська,52.0,1.9,23.0,0.8,0.0,0.0,,,,,,
2014-01,Херсонська,49.0,4.6,15.0,1.4,3.0,0.3,,,,,,
2014-01,Хмельницька,25.0,1.9,12.0,0.9,4.0,0.3,,,,,,
2014-01,Черкаська,43.0,3.4,37.0,2.9,6.0,0.5,,,,,,
