Date,Region,HIV_Rate,AIDS_Rate
2022-01,Вінницька,0.6,0.3
2022-01,Волинська,0.4,0.3
2022-01,Дніпропетровська,6.4,1.7
2022-01,Донецька,4.6,1.2
2022-01,Житомирська,1.3,0.8
2022-01,Закарпатська,1.0,0.2
2022-01,Запорізька,2.0,0.3
2022-01,Івано-Франківська,0.6,0.2
2022-01,Київська,3.9,0.9
2022-01,Кіровоградська,2.2,1.0
2022-01,Луганська,1.0,0.3
2022-01,Львівська,0.5,0.1
2022-01,Миколаївська,1.4,1.2
2022-01,Одеська,11.9,4.1
2022-01,Полтавська,1.3,0.2
2022-01,Рівненська,0.8,0.3
2022-01,Сумська,0.9,0.4
2022-01,Тернопільська,0.6,0.3
2022-01,Харківська,1.5,0.6
2022-01,Херсонська,3.7,0.8
2022-01,Хмельницька,0.6,0.2
2022-01,Черкаська,0.0,0.0
2022-01,Чернівецька,0.1,0.1
2022-01,Чернігівська,2.4,0.3
2022-01,Київ,1.9,0.2
2022-02,Вінницька,0.6,0.7
2022-02,Волинська,1.1,0.4
2022-02,Дніпропетровська,5.8,0.9
2022-02,Донецька,3.6,1.0
2022-02,Житомирська,1.9,1.0
2022-02,Закарпатська,0.2,0.2
2022-02,Запорізька,0.7,0.2
2022-02,Івано-Франківська,0.7,0.1
2022-02,Київська,0.0,0.0
2022-02,Кіровоградська,2.1,0.2
2022-02,Луганська,0.0,0.0
2022-02,Львівська,1.1,0.7
2022-02,Миколаївська,1.8,0.6
2022-02,Одеська,11.6,1.9
2022-02,Полтавська,1.3,0.2
2022-02,Рівненська,0.5,0.3
2022-02,Сумська,0.0,0.0
2022-02,Тернопільська,0.6,0.2
2022-02,Харківська,0.0,0.0
2022-02,Херсонська,2.1,0.5
2022-02,Хмельницька,0.6,0.2
2022-02,Черкаська,2.3,0.8
2022-02,Чернівецька,0.1,0.0
2022-02,Чернігівська,2.4,0.5
2022-02,Київ,1.8,0.4
2022-03,Вінницька,1.4,0.5
2022-03,Волинська,1.1,0.8
2022-03,Дніпропетровська,7.0,1.0
2022-03,Донецька,1.1,0.2
2022-03,Житомирська,1.3,0.7
2022-03,Закарпатська,0.2,0.1
2022-03,Запорізька,1.2,0.3
2022-03,Івано-Франківська,0.8,0.2
2022-03,Київська,5.0,1.2
2022-03,Кіровоградська,1.7,0.7
2022-03,Луганська,0.6,0.0
2022-03,Львівська,0.9,0.4
2022-03,Миколаївська,1.3,0.3
2022-03,Одеська,8.0,1.2
2022-03,Полтавська,1.6,0.2
2022-03,Рівненська,1.0,0.5
2022-03,Сумська,0.7,0.2
2022-03,Тернопільська,1.1,0.4
2022-03,Харківська,0.0,0.0
2022-03,Херсонська,1.8,0.7
2022-03,Хмельницька,0.6,0.3
2022-03,Черкаська,1.4,0.6
2022-03,Чернівецька,0.2,0.2
2022-03,Чернігівська,0.3,0.1
2022-03,Київ,0.8,0.1
2022-04,Вінницька,1.0,0.7
2022-04,Волинська,0.7,0.4
2022-04,Дніпропетровська,7.1,1.3
2022-04,Донецька,0.6,0.1
2022-04,Житомирська,1.5,0.8
2022-04,Закарпатська,0.2,0.1
2022-04,Запорізька,1.3,0.2
2022-04,Івано-Франківська,0.7,0.1
2022-04,Київська,1.5,1.3
2022-04,Кіровоградська,3.3,0.3
2022-04,Луганська,0.0,0.0
2022-04,Львівська,1.0,0.2
2022-04,Миколаївська,2.3,0.8
2022-04,Одеська,11.9,2.0
2022-04,Полтавська,1.0,0.1
2022-04,Рівненська,1.1,0.5
2022-04,Сумська,0.2,0.0
2022-04,Тернопільська,0.2,0.1
2022-04,Харківська,0.0,0.0
2022-04,Херсонська,0.9,0.3
2022-04,Хмельницька,0.7,0.2
2022-04,Черкаська,2.0,0.3
2022-04,Чернівецька,0.4,0.1
2022-04,Чернігівська,1.1,0.3
2022-04,Київ,1.7,0.5
2022-05,Вінницька,1.2,0.8
2022-05,Волинська,1.2,0.3
2022-05,Дніпропетровська,7.4,1.8
2022-05,Донецька,0.7,0.2
2022-05,Житомирська,1.9,1.5
2022-05,Закарпатська,0.8,0.2
2022-05,Запорізька,1.4,0.1
2022-05,Івано-Франківська,0.8,0.1
2022-05,Київська,2.6,0.8
2022-05,Кіровоградська,2.6,0.8
2022-05,Луганська,0.0,0.0
2022-05,Львівська,1.8,0.8
2022-05,Миколаївська,1.4,0.4
2022-05,Одеська,14.4,3.1
2022-05,Полтавська,1.5,0.3
2022-05,Рівненська,0.6,0.3
2022-05,Сумська,1.8,0.4
2022-05,Тернопільська,0.9,0.2
2022-05,Харківська,0.0,0.0
2022-05,Херсонська,1.5,0.1
2022-05,Хмельницька,0.9,0.4
2022-05,Черкаська,2.0,0.6
2022-05,Чернівецька,0.3,0.2
2022-05,Чернігівська,4.3,0.6
2022-05,Київ,2.3,0.7
2022-06,Вінницька,0.5,0.6
2022-06,Волинська,0.9,0.1
2022-06,Дніпропетровська,7.0,1.1
2022-06,Донецька,0.9,0.4
2022-06,Житомирська,2.1,0.9
2022-06,Закарпатська,0.3,0.0
2022-06,Запорізька,2.3,0.4
2022-06,Івано-Франківська,1.0,0.1
2022-06,Київська,5.1,1.1
2022-06,Кіровоградська,2.9,0.7
2022-06,Луганська,0.0,0.0
2022-06,Львівська,1.4,0.3
2022-06,Миколаївська,4.3,0.7
2022-06,Одеська,16.5,1.8
2022-06,Полтавська,1.3,0.1
2022-06,Рівненська,1.2,0.3
2022-06,Сумська,1.6,0.4
2022-06,Тернопільська,1.1,0.1
2022-06,Харківська,0.0,0.0
2022-06,Херсонська,1.7,0.3
2022-06,Хмельницька,1.1,0.6
2022-06,Черкаська,2.4,0.6
2022-06,Чернівецька,0.8,0.6
2022-06,Чернігівська,3.0,0.4
2022-06,Київ,3.9,0.8
2022-07,Вінницька,2.0,1.4
2022-07,Волинська,0.5,0.2
2022-07,Дніпропетровська,8.8,1.8
2022-07,Донецька,0.8,0.3
2022-07,Житомирська,2.0,0.9
2022-07,Закарпатська,0.9,0.3
2022-07,Запорізька,1.8,0.5
2022-07,Івано-Франківська,0.7,0.1
2022-07,Київська,3.5,1.5
2022-07,Кіровоградська,2.3,0.8
2022-07,Луганська,0.0,0.0
2022-07,Львівська,0.8,0.3
2022-07,Миколаївська,3.7,1.9
2022-07,Одеська,16.4,3.5
2022-07,Полтавська,1.6,0.3
2022-07,Рівненська,1.3,0.9
2022-07,Сумська,0.4,0.0
2022-07,Тернопільська,0.8,0.2
2022-07,Харківська,0.6,0.2
2022-07,Херсонська,0.5,0.2
2022-07,Хмельницька,1.3,0.7
2022-07,Черкаська,2.4,0.6
2022-07,Чернівецька,0.7,0.1
2022-07,Чернігівська,3.1,0.5
2022-07,Київ,2.7,0.5
2022-08,Вінницька,1.3,1.1
2022-08,Волинська,1.4,0.4
2022-08,Дніпропетровська,8.1,1.9
2022-08,Донецька,0.8,0.3
2022-08,Житомирська,2.2,0.9
2022-08,Закарпатська,0.4,0.2
2022-08,Запорізька,1.7,0.5
2022-08,Івано-Франківська,0.7,0.3
